ID_Cancion,Titulo,Artista,Genero,Nivel_Energia,Duracion_Segundos,Reproducciones_Streaming
TRK-0001,Canción Track_1,Karol G,Reggaeton/Urbano,79,237,158596.0
TRK-0002,Canción Track_2,Los Prisioneros,Pop/Indie,85,137,652087.0
TRK-0003,Canción Track_3,Bad Bunny,,26,141,542002.0
TRK-0004,Canción Track_4,Karol G,Reggaeton/Urbano,63,291,23384.0
TRK-0005,Canción Track_5,Los Prisioneros,Pop/Indie,57,279,508905.0
TRK-0006,Canción Track_6,Rosalía,,77,192,1084604.0
TRK-0007,Canción Track_7,Rosalía,Reggaeton/Urbano,62,187,1421794.0
TRK-0008,Canción Track_8,Gepe,Salsa/Tropical,28,195,876018.0
TRK-0009,Canción Track_9,Karol G,Pop/Indie,60,159,607444.0
TRK-0010,Canción Track_10,Gepe,Rock,34,151,272138.0
TRK-0011,Canción Track_11,Gepe,Reggaeton/Urbano,99,251,294695.0
TRK-0012,Canción Track_12,Bad Bunny,Pop/Indie,94,263,233931.0
TRK-0013,Canción Track_13,Los Prisioneros,Reggaeton/Urbano,37,138,1147015.0
TRK-0014,Canción Track_14,Los Prisioneros,Salsa/Tropical,95,295,806227.0
TRK-0015,Canción Track_15,Cami,Reggaeton/Urbano,59,293,945910.0
TRK-0016,Canción Track_16,Aitana,Pop/Indie,70,160,720095.0
TRK-0017,Canción Track_17,Duki,Pop/Indie,75,216,346126.0
TRK-0018,Canción Track_18,Duki,Pop/Indie,43,162,53593.0
TRK-0019,Canción Track_19,Gepe,Rock,30,284,708066.0
TRK-0020,Canción Track_20,Duki,Salsa/Tropical,92,291,227202.0
TRK-0021,Canción Track_21,Feid,Reggaeton/Urbano,97,160,354480.0
TRK-0022,Canción Track_22,Los Prisioneros,Reggaeton/Urbano,29,188,63931.0
TRK-0023,Canción Track_23,Los Prisioneros,Reggaeton/Urbano,31,299,672125.0
TRK-0024,Canción Track_24,Karol G,Pop/Indie,54,162,627998.0
TRK-0025,Canción Track_25,Duki,Reggaeton/Urbano,67,167,1472099.0
TRK-0026,Canción Track_26,Cami,,86,188,555079.0
TRK-0027,Canción Track_27,Duki,Reggaeton/Urbano,51,266,190049.0
TRK-0028,Canción Track_28,Aitana,Reggaeton/Urbano,73,248,387519.0
TRK-0029,Canción Track_29,Aitana,Pop/Indie,90,219,382788.0
TRK-0030,Canción Track_30,Karol G,Rock,97,256,50315.0
TRK-0031,Canción Track_31,Los Prisioneros,Salsa/Tropical,77,207,269705.0
TRK-0032,Canción Track_32,Duki,Rock,58,219,290086.0
TRK-0033,Canción Track_33,Bad Bunny,Pop/Indie,27,130,707022.0
TRK-0034,Canción Track_34,Gepe,Pop/Indie,50,145,113021.0
TRK-0035,Canción Track_35,Cami,Reggaeton/Urbano,42,265,497932.0
TRK-0036,Canción Track_36,Los Prisioneros,Pop/Indie,45,251,1945501.0
TRK-0037,Canción Track_37,Feid,Pop/Indie,81,130,21982.0
TRK-0038,Canción Track_38,Duki,Pop/Indie,44,260,485844.0
TRK-0039,Canción Track_39,Karol G,Reggaeton/Urbano,72,158,470309.0
TRK-0040,Canción Track_40,Feid,Pop/Indie,99,203,769532.0
TRK-0041,Canción Track_41,Aitana,Salsa/Tropical,83,175,26102.0
TRK-0042,Canción Track_42,Aitana,Reggaeton/Urbano,47,208,138166.0
TRK-0043,Canción Track_43,Aitana,Reggaeton/Urbano,54,172,918168.0
TRK-0044,Canción Track_44,Duki,Reggaeton/Urbano,68,270,133283.0
TRK-0045,Canción Track_45,Gepe,Reggaeton/Urbano,39,221,466622.0
TRK-0046,Canción Track_46,Mon Laferte,Reggaeton/Urbano,76,206,957019.0
TRK-0047,Canción Track_47,Cami,Rock,73,277,1066853.0
TRK-0048,Canción Track_48,Mon Laferte,Rock,98,211,
TRK-0049,Canción Track_49,Feid,Salsa/Tropical,48,283,1079007.0
TRK-0050,Canción Track_50,Bad Bunny,Reggaeton/Urbano,76,206,433186.0
TRK-0051,Canción Track_51,Aitana,Reggaeton/Urbano,22,183,201288.0
TRK-0052,Canción Track_52,Los Prisioneros,,50,135,331472.0
TRK-0053,Canción Track_53,Rosalía,Reggaeton/Urbano,40,188,991141.0
TRK-0054,Canción Track_54,Aitana,Pop/Indie,83,124,358039.0
TRK-0055,Canción Track_55,Rosalía,Reggaeton/Urbano,92,223,91567.0
TRK-0056,Canción Track_56,Feid,Rock,25,278,576596.0
TRK-0057,Canción Track_57,Rosalía,,78,276,330977.0
TRK-0058,Canción Track_58,Mon Laferte,Pop/Indie,91,232,96466.0
TRK-0059,Canción Track_59,Cami,Pop/Indie,30,145,151917.0
TRK-0060,Canción Track_60,Rosalía,Rock,89,150,870136.0
TRK-0061,Canción Track_61,Gepe,Rock,36,145,42801.0
TRK-0062,Canción Track_62,Los Prisioneros,Pop/Indie,25,222,287999.0
TRK-0063,Canción Track_63,Karol G,Pop/Indie,100,295,1322302.0
TRK-0064,Canción Track_64,Feid,Reggaeton/Urbano,22,152,174768.0
TRK-0065,Canción Track_65,Feid,,97,177,147257.0
TRK-0066,Canción Track_66,Duki,Pop/Indie,73,225,883918.0
TRK-0067,Canción Track_67,Aitana,Reggaeton/Urbano,36,158,595372.0
TRK-0068,Canción Track_68,Aitana,Salsa/Tropical,52,245,492829.0
TRK-0069,Canción Track_69,Gepe,Reggaeton/Urbano,45,239,1167302.0
TRK-0070,Canción Track_70,Gepe,Reggaeton/Urbano,58,294,1192179.0
TRK-0071,Canción Track_71,Aitana,Pop/Indie,46,256,76577.0
TRK-0072,Canción Track_72,Rosalía,Pop/Indie,92,265,
TRK-0073,Canción Track_73,Aitana,Pop/Indie,83,147,
TRK-0074,Canción Track_74,Los Prisioneros,Pop/Indie,35,255,652881.0
TRK-0075,Canción Track_75,Karol G,Reggaeton/Urbano,63,254,2336493.0
TRK-0076,Canción Track_76,Feid,Rock,39,298,169776.0
TRK-0077,Canción Track_77,Gepe,Reggaeton/Urbano,47,253,421096.0
TRK-0078,Canción Track_78,Mon Laferte,Reggaeton/Urbano,99,126,293554.0
TRK-0079,Canción Track_79,Cami,Salsa/Tropical,59,247,433497.0
TRK-0080,Canción Track_80,Rosalía,Rock,56,286,592989.0
TRK-0081,Canción Track_81,Feid,Reggaeton/Urbano,63,161,429092.0
TRK-0082,Canción Track_82,Rosalía,Salsa/Tropical,96,147,142828.0
TRK-0083,Canción Track_83,Los Prisioneros,Rock,57,124,172546.0
TRK-0084,Canción Track_84,Cami,Salsa/Tropical,26,161,904888.0
TRK-0085,Canción Track_85,Bad Bunny,Reggaeton/Urbano,69,159,1404447.0
TRK-0086,Canción Track_86,Aitana,Reggaeton/Urbano,22,162,336203.0
TRK-0087,Canción Track_87,Bad Bunny,Reggaeton/Urbano,39,131,142237.0
TRK-0088,Canción Track_88,Rosalía,Salsa/Tropical,46,273,680564.0
TRK-0089,Canción Track_89,Feid,Salsa/Tropical,45,146,376335.0
TRK-0090,Canción Track_90,Aitana,Reggaeton/Urbano,90,241,245184.0
TRK-0091,Canción Track_91,Cami,Pop/Indie,54,121,
TRK-0092,Canción Track_92,Cami,,60,164,812251.0
TRK-0093,Canción Track_93,Gepe,Rock,62,278,490660.0
TRK-0094,Canción Track_94,Cami,Reggaeton/Urbano,22,134,377165.0
TRK-0095,Canción Track_95,Bad Bunny,Pop/Indie,38,243,509604.0
TRK-0096,Canción Track_96,Gepe,,86,129,692471.0
TRK-0097,Canción Track_97,Los Prisioneros,Salsa/Tropical,61,208,40944.0
TRK-0098,Canción Track_98,Rosalía,Pop/Indie,63,186,132335.0
TRK-0099,Canción Track_99,Gepe,Salsa/Tropical,46,143,867306.0
TRK-0100,Canción Track_100,Aitana,Reggaeton/Urbano,81,270,1102133.0
TRK-0101,Canción Track_101,Cami,Salsa/Tropical,47,293,1065155.0
TRK-0102,Canción Track_102,Bad Bunny,Reggaeton/Urbano,42,145,557076.0
TRK-0103,Canción Track_103,Cami,Salsa/Tropical,42,127,174503.0
TRK-0104,Canción Track_104,Feid,Pop/Indie,68,136,1228187.0
TRK-0105,Canción Track_105,Duki,Reggaeton/Urbano,29,254,481217.0
TRK-0106,Canción Track_106,Gepe,Pop/Indie,48,288,101024.0
TRK-0107,Canción Track_107,Duki,Pop/Indie,73,194,379031.0
TRK-0108,Canción Track_108,Aitana,Rock,100,281,706653.0
TRK-0109,Canción Track_109,Karol G,Pop/Indie,70,147,300194.0
TRK-0110,Canción Track_110,Aitana,Pop/Indie,92,171,373904.0
TRK-0111,Canción Track_111,Duki,Salsa/Tropical,39,287,233392.0
TRK-0112,Canción Track_112,Feid,Rock,27,124,747929.0
TRK-0113,Canción Track_113,Feid,Pop/Indie,92,122,173100.0
TRK-0114,Canción Track_114,Karol G,Rock,62,256,1601582.0
TRK-0115,Canción Track_115,Feid,Salsa/Tropical,76,166,1338522.0
TRK-0116,Canción Track_116,Cami,Reggaeton/Urbano,50,166,45225.0
TRK-0117,Canción Track_117,Karol G,Pop/Indie,25,145,90156.0
TRK-0118,Canción Track_118,Duki,Reggaeton/Urbano,46,159,78774.0
TRK-0119,Canción Track_119,Rosalía,Salsa/Tropical,79,173,967078.0
TRK-0120,Canción Track_120,Bad Bunny,Rock,100,293,811603.0
TRK-0121,Canción Track_121,Cami,Rock,97,249,125867.0
TRK-0122,Canción Track_122,Los Prisioneros,Pop/Indie,78,293,515457.0
TRK-0123,Canción Track_123,Bad Bunny,Reggaeton/Urbano,80,120,26889.0
TRK-0124,Canción Track_124,Mon Laferte,Salsa/Tropical,61,290,193192.0
